Palestrante;Minibio
Carlos César da Silva ;Carlos é tradutor, pesquisador, preparador e revisor, graduado em Letras (Português/Inglês) pela PUC Campinas e mestre e doutorando em Linguística Aplicada pela Unicamp. Trabalha no mercado editorial desde 2021, principalmente em ficção para adolescentes e jovens adultos, com editoras como Intrínseca, Universo dos Livros, Melhoramentos e Astral Cultural. No âmbito acadêmico, concentra sua pesquisa em tradução literária. Na Unicamp, faz parte do grupo de pesquisa “E por falar em tradução”, com o qual já traduziu artigos sobre a prática tradutória e textos técnicos sobre saúde e coorganiza eventos sobre os Estudos da Tradução na universidade.
;
Carlos Harmel;Carlos Eduardo Harmel é Advogado em Direito Civil e Empresarial, Especialista em Contratos, Tradutor Público e Intérprete Comercial e Psicólogo e Orientador Profissional.
;
Carlos Rutz;Carlos H. Rutz é professor e tradutor. Baseado em Florianópolis, traduziu as mais importantes graphic novels do universo DC, além de toda a coleção do clássico Príncipe Valente. Fora do mundo dos super-heróis, traduz de romances históricos a periódicos da área médica, pois já foi professor de anatomia e fisiologia humanas. Professor de inglês desde 2007, criou e lecionou o primeiro Curso de Inglês Instrumental da plataforma LabPub, em 2022. Além disso, em 2023 estreia seu Talking Time, projeto que reúne pessoas que já falam inglês mas querem fugir tanto da formalidade escolar quanto da hierarquia professor-aluno.
;
Carmen Reis;Formada em Tradução/Interpretação pelo Centro Universitário Ibero-Americano e pós-graduanda do curso de Comunicação Organizacional/Relações Públicas da Faculdade Cásper Líbero. Tradutora, intérprete, professora e consultora linguística.
;
Carol Alfaro;Sou bilíngue nativo de português sul-americano e espanhol com bacharelado e mestrado em tradução inglês-português pela PUC-Rio no Brasil. Atuo como tradutora profissional em tempo integral desde 1996. Além de tradução e revisão de textos em português, espanhol e inglês em diversas áreas, sou especialista em legendagem para cinema, DVD, TV a cabo e clientes corporativos. Sou proprietária da Scriba Traduções , empresa brasileira de traduções fundada em 2001. Desde 2005 ensino técnicas de tradução e legendagem em cursos presenciais e a distância. Moro em Toronto, Canadá, desde 2007, e sou membro da ATIO, ATA e Abrates.
;
Carolina Bisson;"Mestra em Estudos Linguísticos na área de Estudos da Tradução pela Universidade Estadual Paulista (UNESP), Pós-graduada em Gestão e Estratégia de Empresas pela Escola de Extensão da Unicamp (EXTECAMP) e Bacharela em Letras com Habilitação de Tradutor pela Universidade Estadual Paulista (UNESP). Tradutora, revisora e pós-editora profissional, atuou como Gerente de Tradução em uma agência de tradução técnica por 10 anos, sendo responsável por tarefas de tradução, revisão, pós-edição, controle de qualidade, desenvolvimento de glossários, implementação de CAT Tools, além de recrutamento e suporte a tradutores freelance. Atualmente, também é professora na Graduação em Tradução e na Pós em Gerenciamento de Projetos de Tradução da Faculdade Phorte.
"
;
Caroline Santiago;Caroline Santiago faz parte da Equipe CULT de Coordenação dos cursos de línguas e tradução da Faculdade Phorte. Graduada em Tradução e Interpretação pela Universidade São Judas Tadeu (USJT) e pós-graduada em Tradução de Inglês pela Estácio de Sá, Caroline é tradutora profissional com mais de 10 anos de experiência, especializada na tradução de textos do inglês para o português nas áreas de engenharia mecânica, telecomunicações, TI, indústria automobilística, aviação, turismo e outras.
;
Carol Coelho;Carol Coelho é tradutora (inglês / espanhol > português), revisora de textos e parecerista.
;
Carol Selvatici;Carolina Selvatici é bacharel em Comunicação Social - Jornalismo pela UFRJ e mestre em Letras - Estudos da Linguagem pela PUC-Rio. Completou o curso de formação de tradutores Português/Inglês em 2007. Desde então, traduz para diversas editoras e produtoras do país e do exterior. Participou da Fabrique des Traducteurs Português/Francês, realizada em Arles, França, pelo Colégio Internacional de Tradutores Literários (CITL). Participou da elaboração e executou o primeiro edital do Programa de Residência de Tradutores Estrangeiros no Brasil, da Fundação Biblioteca Nacional.
;
Carol Walliter;Carolina Walliter é intérprete de conferências e tradutora desde 2010, com experiência nas áreas de marketing, e-commerce e SEO, turismo, comunicação criativa e desenvolvimento pessoal. Também é bacharel e licenciada em História pela Universidade Federal Fluminense (2013). Nas horas nem tão vagas assim, reflete sobre os desafios das suas profissões em seu blog, o Pronoia Tradutória. Entusiasta do coworking na comunidade dos linguistas, gosta de labradores, futebol e carnaval mais que o recomendado pela OMS.
;
Carol Alberoni;Tradutora profissional desde 2010, tenho qualificação abrangente na área (graduação e mestrado em tradução). Principais áreas de atuação: TI (tecnologia da informação), marketing, negócios, meio ambiente e serviços de streaming.
;
Carol Pimentel;"Ana Carolina Alves de Souza Pimentel, mais conhecida como Carol Pimentel, é uma editora e roteirista de quadrinhos brasileira. Formada em Física e mais quatro outras graduações, Carol foi diretora da Escola Municipal de Astrofísica de São Paulo, cargo que largou para se tornar editora assistente na Panini Comics. Em 2015, Carol tornou-se editora sênior das revistas Homem-Aranha, X-Men e e da linha Ultimate, passando a ser a primeira mulher a assumir o cargo de editora de quadrinhos de super-heróis no Brasil. Em 2017, escreveu o roteiro do romance gráfico P.O.V. - Point Of View, ilustrado por Germana Viana, com o qual ganhou no ano seguinte o Troféu HQ Mix na categoria novo talento (roteirista)"". Como roteirista, também participou da série Gibi de Menininha, cujo primeiro volume, Gibi de Menininha: historietas de terror e putaria, foi lançado em 2018. No mesmo ano, publicou o livro Tradução de Histórias em Quadrinhos – Teoria e Prática."
;
Catherine Christaki;"Catherine Christaki é tradutora certificada de inglês para grego desde 2001 e parceira da Lingua Greca Translations desde 2012. Especializada em localização de software, aplicativos e web (líder da língua grega para software e aplicativos da Apple desde 2011), Catherine traduziu o guia ""Translation: Getting it Right"", da ATA, para o grego. Nascida e criada na Grécia, estudou Línguas Modernas no Reino Unido e mora em Guelph, Canadá, e gosta de discutir on-line sobre #L10n (como @LinguaGreca). Voluntária ativa na ATA, como mentora e blogmaster do The Savvy Newcomer, e na Women in Localization (Gerente GEO das Américas; ex-gerente do capítulo do Leste do Canadá). Catherine Christaki has been a certified English-Greek translator since 2001 and a partner at Lingua Greca Translations since 2012. She specializes in software, app and web localization (Greek Language Lead for Apple software & apps since 2011) and translated ATA’s guide Translation: Getting It Right into Greek. Born and raised in Greece, she studied Modern Languages in the UK, and lives in Guelph, Canada. She enjoys talking about #L10n online (as @LinguaGreca). Active volunteer for the ATA (as a mentor, and blogmaster of The Savvy Newcomer) and Women in Localization (Americas GEO Manager; former Chapter Manager of Eastern Canada chapter)."
;
Cátia Santana;Cátia Santana, graduada em Secretariado Executivo Bilíngue pela Universidade Braz Cubas e pós-graduada em Tradução: Inglês/Português pelo Centro Universitário Ibero-Americano. Tradutora e revisora desde 2009, trabalha com os idiomas português, inglês e espanhol. É especializada na tradução de textos da área farmacêutica.
;
César Alarcón;César Alarcón é tradutor, intérprete e jornalista. Mestrando em Comunicação e Audiovisual, com graduação e pós-graduação em Jornalismo, Letras e Cinema, atua no segmento audiovisual desde 1992 e no mercado de legendagem desde 2001. Traduziu centenas de filmes para as maiores produtoras de vídeo e cinema do Brasil. É integrante do corpo docente das pós-graduações em Tradução e Tradução Audiovisual da Estácio e associado da ABRATES. Também é produtor, coordenador e responsável pela tradução e projeção de legendas nas principais mostras e festivais internacionais de cinema no Brasil e no exterior.
;
Christiano Sanches;Christiano Sanches é tradutor e intérprete de conferências atuando com os idiomas inglês e francês. Graduou-se em Jornalismo na PUC-Rio em 1997, completando ainda a Formação de Intérpretes de Conferência (2005) e a Formação de Tradutores Inglês-Português (2009) na mesma instituição. É mestre em Estudos da Linguagem pela mesma PUC-Rio (2013), na qual atua há quase 10 anos como professor na Formação de Intérpretes de Conferência.
;
Ciça Lopes;Tradutora (ing-port port-ing) e revisora de textos. Associada da ABRATES. Voluntária no Programa de Mentoria da ABRATES.
;
Cláudia Cruz;Desde 1991, trabalho com inglês e português, seja dando aula, seja traduzindo diversos tipos de textos de e para ambos idiomas. Em 2011, abri a Companhia da Palavra, empresa de Tradução e Comunicação, através da qual faço, além de traduções, revisões, ministro aulas para o aprimoramento do uso dos idiomas inglês e português, e desenvolvo roteiros. Desde 2000, venho traduzindo textos dramáticos, como Mais Perto, de Patrick Marber, e Criados em Cativeiro, de Nicky Silver, por exemplo. Na área teatral, também traduzo material de pesquisa, como para a montagem de Medeia de Bia Lessa, com Renata Sorrah, e A Prova, na montagem de Aderbal Freire Filho, com Andréa Beltrão. Ainda na área de dramaturgia, traduzi roteiros e projetos de séries para a O2 Filmes, e o roteiro My Dinner with Andre, de Wallace Shawn e André Gregory, e verti para o inglês o curta metragem Furos no Sofá, de Ana Beatriz Nogueira, e trechos do filme Paraísos Artificiais, de Marcos Prado, a serem filmados fora do Brasil.
;
Cláudia Mello Belhassof;Tradutora editorial de inglês para português desde 2003, com mais de cem livros de ficção e não ficção publicados pelas editoras Darkside, Wish, Intrínseca, Sextante, Arqueiro, Rocco Jovens Leitores, Fábrica 231, Verus e Suma. Traduz diversos gêneros, como fantasia, romance e distopias para adultos e jovens adultos. Recebeu uma bolsa na Casa de Tradutores Looren, na Suíça, onde residiu por um mês em 2016. Participa de diversos congressos profissionais como ouvinte e palestrante.
;
Claudinei Nunes;Claudinei Nunes da Silva é intérprete de conferências radicado em Genebra, na Suíça. É Bacharel em tradução pela Universidade do Sagrado Coração, em Bauru. Possui uma especialização em interpretação de conferências pela Escola Sampere de Tradutores e Intérpretes em Madri, na Espanha, uma pós-graduação em interpretação de conferências pela Universidade de Lisboa, em Portugal e um Mestrado em Estudos Avançados para a Formação de Intérpretes pela Universidade de Genebra, na Suíça. Há quase 15 anos, trabalha como intérprete para diversas organizações internacionais, missões diplomáticas e federações esportivas internacionais, e como colaborador externo no Master de Interpretação de Conferências da Universidade de La Laguna na Espanha.
;
