Origem;Título;Palestrante;Free;Tradução;Interpretação;Revisão;Ferramentas;Geral;Língua;Cuidados;Redes Sociais;Dublagem;Legendagem;Literária;Jogos;Jurídica;Médica;Técnica;Cursos;Links
S06E04;Inventar o trabalho dos outros?;Carlos Rutz;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/inventar-o-trabalho-dos-outros-s06e04/
S06E05;Interpretando Altas Autoridades;Cláudia Chauvet;;;;;;;;;;;;;;;;;;https://translators101.com.br/video/interpretando-altas-autoridades-s06e05/
S06E06;MINHA nenhuma tradução é perfeita. Como aprender com a preparação de texto;Jana Bianchi e Fernanda;;x;;x;;x;;;;;;x;;;;;;https://translators101.com.br/video/como-aprender-com-a-preparacao-de-texto-s06e06/
S06E07;Um passeio pela construção da literatura norte-americana;Tereza Marques de Oliveira Lima;;;;;;;;;;;;x;;;;;;https://translators101.com.br/video/um-passeio-pela-construcao-da-literatura-norte-americana-s06e07/
S06E08;O nascimento e o renascimento da literatura traduzida;Ellen Maria;;;;;;;;;;;;x;;;;;;https://translators101.com.br/video/o-nascimento-e-o-renascimento-da-literatura-traduzida-s06e08/
S06E09;É um livro? É um jogo? É uma HQ? A localização de livros-jogos e seus desafios;Bianca Melyna;;;;;;;;;;;;x;x;;;;;https://translators101.com.br/video/a-localizacao-de-livros-jogos-e-seus-desafios-s06e09/
S06E10;O tradutor profissional e a globalização;Jorge Rodrigues;;;;;x;x;;;;;;;;;;;;https://translators101.com.br/video/o-tradutor-profissional-e-a-globalizacao-s06e10/
S06E11;Hacks de interpretação e minha experiência com interpretação na sede do governo;Leonardo Padovani;;;x;;;;;;;;;;;;;;;https://translators101.com.br/video/hacks-de-interpretacao-e-minha-experiencia-com-interpretacao-na-sede-do-governo-s06e11/
S06E12;RSI 3 anos depois do fim do mundo: um balanço;Aldo Vidor;;;x;;;;;;;;;;;;;;;https://translators101.com.br/video/rsi-3-anos-depois-do-fim-do-mundo-um-balanco-s06e12/
S06E13;Da tradução à versão: novos desafios para uma tradutora emigrante;Simone Campos;;x;;;;;;;;;;;;;;;;https://translators101.com.br/video/da-traducao-a-versao-novos-desafios-para-uma-tradutora-emigrante-s06e13/
S06E14;Que tempo bom, que nunca volta mais;Karina Wuo;;;;;x;x;;;;;;;;;;;;https://translators101.com.br/video/que-tempo-bom-que-nao-volta-nunca-mais-s06e14/
S06E15;10+ maneiras de traduzir provérbios e expressões idiomáticas;Reginaldo Francisco;;;;;;;x;;;;;x;;;;;;https://translators101.com.br/video/mais-de-10-maneiras-de-traduzir-proverbios-e-expressoes-idiomaticas-s06e15/
S06E16;A interpretação consecutiva e outras práticas que te tornam um melhor intérprete de simultânea;Luana Carvalho;;;x;;;;;;;;;;;;;;;https://translators101.com.br/video/a-interpretacao-consecutiva-e-outras-praticas-que-te-tornam-um-melhor-interprete-de-simultanea-s06e16/
S06E17;TQAuditor grátis para tradutores;Jean Trindade;;;;;x;;;;;;;;;;;;;https://translators101.com.br/video/tqauditor-gratis-para-tradutores-s06e17/
S06E18;Interpretação de auditorias e acompanhamento;Carmen Reis;;;x;;;;;;;;;;;;;;;https://translators101.com.br/video/interpretacao-de-auditorias-e-acompanhamento-s06e18/
S06E19;Desafios ao traduzir um artigo científico do inglês indiano ao português;Sofia Pulici;;x;;;;;;;;;;;;;x;;;https://translators101.com.br/video/desafios-ao-traduzir-do-ingles-indiano-ao-portugues/
S06E20;A importância do networking para o tradutor;Felipe Tomasi;;;;;;x;;;;;;;;;;;;https://translators101.com.br/video/a-importancia-do-networking-para-o-tradutor-s06e20/
S06E21;Como é o credenciamento para intérpretes na UE: requisitos e a prova;Alexandra de Vries;;;x;;;;;;;;;;;;;;;https://translators101.com.br/video/como-e-o-credenciamento-para-interpretes-na-ue-requisitos-e-a-prova-s06e21/
S06E22;Tradutor: um eterno aprendiz;Cláudia Fleith;;;;;;x;;;;;;;;;;;;https://translators101.com.br/video/tradutor-eterno-aprendiz/
S06E23;Tradução pública: como era e como ficou após a nova legislação;Jorge Rodrigues;;;;;;;;;;;;;;x;;;;https://translators101.com.br/video/tradutor-interprete-publico/
S06E24;Tradução criativa na localização de jogos;Ivan L. Lopes;;;;;;;;;;;;;x;;;;;https://translators101.com.br/video/traducao-criativa-na-localizacao-de-jogos-s06e24/
S06E25;Montando passo a passo uma macro no Word;Victor Almeida;;;;;x;;;;;;;;;;;;;https://translators101.com.br/video/s06e25-victor-almeida/
S06E26;Como a dramaturgia influencia a tradução audiovisual;Jacqueline Plaça;;;;;;;;;;x;x;;;;;;;https://translators101.com.br/video/como-a-dramaturgia-influencia-a-traducao-audiovisual-s06e26/
S06E27;Exorcize o seu texto: acabe com os possuídos!;Cláudia Mello Belhassof;;;;;;x;x;;;;;;;;;;;https://translators101.com.br/video/s06e27-claudia-mello-belhassof/
S06E28;Rebranding: como se reinventar – sem reinventar a roda;Ana Carolina Ribeiro;;;;;x;;;;;;;;;;;;;https://translators101.com.br/video/s06e28-rebranding-como-se-reinventar-sem-reinventar-a-roda/
S06E29;Exemplos práticos de multiculturalismo na tradução de inglês e português;Stephan Hughes;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/exemplos-praticos-de-multiculturalismo-na-traducao-de-ingles-e-portugues-s06e29/
S06E30;Comunicação Acessível: Estratégias para integrar a acessibilidade a teatro, redes sociais, palestras e outras formas de diálogo;Fernanda Brahemcha;;;;;;x;;;;;;;;;;;;https://translators101.com.br/video/comunicacao-acessivel-estrategias-para-integrar-a-acessibilidade-a-teatro-redes-sociais-palestras-e-outras-formas-de-dialogo-s06e30/
S06E31;I've Known Rivers - A tradução e o mercado editorial sob a perspectiva negra;Karine Ribeiro;;;;;;;;;;;;x;;;;;;https://translators101.com.br/video/s06e31-karine-ribeiro/
S06E32;Para (não) audaciosos: por uma Poética do Traduzir;Amanda Moura;;;;;x;;;;;;;;;;;;;https://translators101.com.br/video/para-nao-audaciosos-por-uma-poetica-do-traduzir-s06e32/
S06E33;Qualificações e Possibilidades para o Profissional Pós-editor;Andréia Souza e Larissa Albaladejo;;;;;x;x;;;;;;;;;;;;https://translators101.com.br/video/s06e33-qualificacoes-e-possibilidades-para-o-profissional-pos-editor/
S06E34;Por que preciso pensar sobre racismo se não sou racista?;Patricia Souza;;;;;;x;;;;;;;;;;;;https://translators101.com.br/video/por-que-preciso-pensar-sobre-racismo-se-nao-sou-racista-s06e34/
S06E35;Language Lead? Que bicho é esse?;Mariana Ciocca Alves Passos;;;;;x;x;;;;;;;;;;;;https://translators101.com.br/video/s06e35-language-lead-que-bicho-e-esse/
S06E36;Desafios da tradução;Renata Machado;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/desafios-da-traducao-s06e36/
